id,played_at,tournament,map,game_length,winner,matchup,p1_max_collection_rate,p2_max_collection_rate,p1_apm,p2_apm,p1_spm,p2_spm,p1_workers_produced,p2_workers_produced,p1_workers_killed,p2_workers_killed,p1_workers_lost,p2_workers_lost,p1_supply_block,p2_supply_block,p1_sq,p2_sq,p1_avg_pac_per_min,p2_avg_pac_per_min,p1_avg_pac_action_latency,p2_avg_pac_action_latency,p1_avg_pac_actions,p2_avg_pac_actions,p1_avg_pac_gap,p2_avg_pac_gap,p1_avg_collection_rate_minerals,p1_avg_unspent_minerals,p1_minerals_lost,p1_minerals_collected,p2_avg_collection_rate_minerals,p2_avg_unspent_minerals,p2_minerals_lost,p2_minerals_collected,p1_avg_collection_rate_gas,p1_avg_unspent_gas,p1_gas_lost,p1_gas_collected,p2_avg_collection_rate_gas,p2_avg_unspent_gas,p2_gas_lost,p2_gas_collected,p1_race,p2_race
de9bd1d10e8744dfba5eaff491e10041,2021-12-15 17:10:06+00:00,DH Masters Last Chance,Hardwire LE,318,1,PvP,1314,1370,340,146,41.5,12.2,28,27,4,0,0,4,15,55,108,99,43.91,20.92,0.18,0.49,6.71,6.26,0.08,0.16,878.8,111.0,175,5605,879.7,154.2,900,5630,228.0,91.9,150,1158,219.4,99.7,350,1110,Protoss,Protoss
2f23406683ab4cbcba0ad44ee543adc6,2021-12-15 17:32:34+00:00,DH Masters Last Chance,硬线-天梯版,1094,1,TvP,5145,4641,405,460,41.3,30.4,96,97,32,20,20,32,20,50,158,156,40.3,42.99,0.17,0.12,8.69,9.0,0.07,0.03,2356.2,402.9,18850,41158,2264.0,414.8,25400,40580,800.2,398.2,6025,12205,787.8,323.5,11175,12797,Terran,Protoss
e16439ba2e6f4f4d81f63c49f2a3f514,2021-12-20 09:32:25+00:00,DH Masters Last Chance,Curious Minds LE,439,1,PvZ,3162,2866,286,579,41.4,45.6,59,62,12,5,5,12,40,45,131,134,39.61,46.17,0.23,0.12,6.5600000000000005,10.57,0.06,0.03,1474.5,185.8,725,11615,1566.8,155.3,2950,11930,361.5,97.0,300,2506,182.2,77.0,375,1236,Protoss,Zerg
7df2c1a2572e423586ad16a0aa2656b0,2022-02-23 22:04:24+00:00,IEM Katowice,[ESL] Hardwire,986,2,PvZ,5005,4635,456,347,32.0,31.7,178,84,1,114,114,1,35,25,109,160,42.57,47.61,0.15,0.17,9.41,6.19,0.08,0.05,2248.0,1218.0,13692,36165,2331.9,430.0,17250,38995,707.4,1235.8,5162,10327,875.3,375.5,6400,12737,Zerg,Protoss
3702aa54bc6d4988bd6793cae336b34b,2021-10-09 04:37:24+00:00,DH Masters Winter,Oxide LE,575,1,TvP,3308,2524,289,319,30.6,8.8,63,51,9,1,1,9,5,45,125,109,34.32,28.58,0.2,0.21,7.25,10.2,0.08,0.05,1623.9,281.8,3000,15945,1312.2,234.8,3500,12965,418.9,162.8,450,3516,311.7,161.7,800,2696,Protoss,Terran
ea3ab01ce85045b782bd6b0312f949bd,2022-02-27 02:59:02+00:00,IEM Katowice,[ESL] Glittering Ashes,831,1,TvZ,5223,4187,576,372,47.0,32.5,120,84,34,27,27,34,40,75,181,151,48.57,56.22,0.16,0.16,11.61,5.55,0.06,0.07,2644.2,242.2,15785,32730,2105.4,257.6,13000,28430,665.0,270.9,2548,5157,580.1,260.1,3050,6523,Zerg,Terran
709104f90e0f4d5b9538cda3abf8a392,2021-11-12 21:59:12+00:00,DH Masters Winter,[TLMC15] Hardwire,439,2,TvP,2294,3207,286,450,50.4,39.1,65,53,0,31,31,0,20,30,109,125,43.03,43.3,0.18,0.13,5.73,9.32,0.1,0.04,1092.1,159.8,1475,8645,1408.4,153.2,1950,10505,235.6,106.0,575,1520,268.0,119.2,250,1397,Protoss,Terran
d3a039878f8347a8b91316cb95cbc1f8,2022-01-15 22:28:36+00:00,DH Masters Last Chance,2000 Atmospheres LE,573,2,TvP,3000,3101,363,349,23.2,34.2,58,64,8,25,25,8,35,5,119,123,36.11,36.43,0.16,0.15,9.01,8.57,0.04,0.06,1389.9,159.6,2975,13140,1646.6,301.4,3250,16075,356.2,191.4,1075,2829,325.9,122.5,950,2524,Terran,Protoss
ab2a550ba97843d0b02d2f2adef006a4,2022-02-23 20:40:37+00:00,IEM Katowice,2000 Atmospheres LE,469,2,PvP,1292,1342,295,284,56.4,38.9,35,31,7,13,13,7,10,30,105,101,37.48,42.08,0.19,0.21,6.9,6.01,0.15,0.1,830.6,121.7,1825,7180,867.2,133.5,1425,7455,246.5,90.7,1050,1716,234.5,112.6,575,1786,Protoss,Protoss
2cc283912fee4097a9e69162afa77389,2021-10-06 03:56:38+00:00,DH Masters Winter,Jagannatha LE,319,2,PvP,1477,1454,278,274,56.9,30.8,35,29,0,5,5,0,35,10,100,98,34.93,24.6,0.18,0.26,7.15,9.95,0.13,0.1,921.4,175.0,750,5075,923.3,134.4,700,5735,215.9,86.5,700,932,217.4,147.5,250,1106,Protoss,Protoss
175241bd0883406cae40d57a37a0f6b4,2021-10-08 23:52:00+00:00,DH Masters Winter,Romanticide LE,852,1,PvP,3711,4075,296,321,26.5,25.3,68,73,6,6,6,6,20,25,137,130,33.14,43.06,0.24,0.18,7.85,6.67,0.09,0.06,1863.4,329.2,8825,26270,2251.1,839.2,17825,31810,647.2,276.0,3875,7921,512.3,199.9,4925,6542,Protoss,Protoss
dda167db4f674b4abd607f40051f4bf5,2021-09-30 16:59:55+00:00,DH Masters Winter,Blackburn LE,905,1,TvZ,4462,3762,229,369,26.3,19.9,97,101,59,32,32,59,50,100,118,138,32.4,42.67,0.28,0.19,6.46,7.85,0.14,0.1,1933.5,379.1,7075,26442,1877.6,168.8,13100,26906,454.5,502.5,1350,5473,272.0,184.9,775,2229,Terran,Zerg
575465caa5c345e09934e471144851e6,2021-12-18 03:30:15+00:00,DH Masters Last Chance,Hardwire LE,727,1,TvZ,4204,4355,375,487,48.9,54.9,83,128,61,7,7,61,15,25,153,146,54.78,52.3,0.14,0.15,5.98,8.69,0.06,0.09,2036.9,215.2,4870,23530,2142.2,299.3,7804,24630,512.4,189.0,800,4458,410.5,188.8,879,3618,Terran,Zerg
4904061cc426474a8f51a26abfedcfd8,2021-10-08 06:19:55+00:00,DH Masters Winter,2000 Atmospheres LE,522,2,TvP,1930,2882,254,316,43.1,23.8,48,54,4,9,9,4,55,50,91,106,36.26,25.24,0.23,0.19,5.98,10.84,0.08,0.07,993.4,239.0,1550,9550,1132.2,194.2,1396,10560,178.1,120.5,600,1514,305.3,135.7,808,2326,Protoss,Terran
a80c6bc439644b639953ed5b9bff086e,2021-10-18 00:03:41+00:00,DH Masters Winter,2000 Atmospheres LE,451,1,TvP,2882,3196,358,310,35.0,48.9,50,73,28,1,1,28,20,10,132,126,44.81,43.48,0.17,0.25,7.03,6.39,0.08,0.11,1451.2,144.5,1475,11245,1399.9,163.1,1200,11025,339.7,112.2,275,2047,318.4,113.3,450,1800,Terran,Protoss
65f9aff008544b5e8e4146cf1862b504,2022-02-24 20:26:32+00:00,IEM Katowice,2000 Atmospheres LE,1181,1,TvZ,5492,5671,510,334,48.2,22.7,161,93,48,67,67,48,35,55,154,168,49.73,38.35,0.18,0.24,9.82,7.44,0.06,0.07,2636.1,858.3,26483,47395,2266.3,377.5,19049,41999,969.8,776.5,9660,14994,859.2,197.4,9581,14312,Zerg,Terran
86c546575a9e44cfaaff8f4200fdebb5,2021-10-03 02:31:58+00:00,DH Masters Winter,2000 Atmospheres LE,470,2,PvP,2451,1426,314,278,23.5,27.7,47,25,6,4,4,6,50,20,110,101,31.88,33.79,0.19,0.23,8.94,7.58,0.04,0.09,1228.6,225.1,2375,10420,927.1,160.9,1050,7970,288.1,108.3,1125,2052,261.0,110.4,400,1978,Protoss,Protoss
a219bb9cec364f2bb74d229c7ce13179,2021-12-15 17:57:54+00:00,DH Masters Last Chance,하드와이어 - 래더,160,1,TvT,1258,1130,281,300,33.5,11.9,20,22,3,0,0,3,10,20,117,101,41.37,42.12,0.2,0.17,6.12,6.71,0.09,0.08,644.3,71.6,0,2725,777.3,139.4,50,3035,144.2,29.0,0,392,107.5,40.1,50,238,Terran,Terran
756120fe0c284c38bfd1c407f1ba7ebd,2021-10-17 04:41:56+00:00,DH Masters Winter,Lightshade LE,383,2,PvZ,2300,2546,380,313,38.0,35.7,47,45,0,8,8,0,35,20,124,127,47.91,35.54,0.15,0.22,6.95,7.38,0.08,0.09,1307.1,150.6,1225,9105,1256.9,127.0,700,8695,156.5,58.8,300,900,294.1,85.5,175,1742,Zerg,Protoss
424875cb178d44329b0f158bc07fe665,2021-11-09 21:15:13+00:00,DH Masters Winter,[TLMC15] Glittering Ashes,459,2,PvP,1376,2205,306,310,28.2,26.2,26,47,12,1,1,12,30,15,92,110,28.2,33.68,0.28,0.2,9.07,7.92,0.08,0.08,908.8,194.6,3075,7705,1089.5,132.9,2000,8705,258.1,151.8,1175,1634,258.2,133.5,875,1784,Protoss,Protoss
50c9bfb707814f1fab95c31f28c5db61,2022-02-23 23:19:38+00:00,IEM Katowice,[ESL] Blackburn,658,2,TvP,2636,3218,342,293,32.1,45.6,46,67,11,32,32,11,30,5,109,125,39.02,42.21,0.18,0.2,7.85,6.15,0.08,0.1,1126.0,138.4,4430,12104,1629.8,177.9,6825,18485,325.9,173.8,1405,2978,370.7,242.7,1300,3609,Terran,Protoss
f3d5f59fb0b14dd6a2bb39477e11a2b9,2022-02-24 19:33:55+00:00,IEM Katowice,[ESL] Pride of Altaris,448,2,TvP,2715,2888,324,323,45.9,19.3,65,50,0,27,27,0,10,30,124,128,43.73,40.39,0.18,0.16,6.51,7.33,0.08,0.06,1298.8,169.9,850,10204,1409.6,154.8,1250,11335,308.1,82.3,325,1946,258.9,91.8,250,1578,Protoss,Terran
9a7cd5b172ce48809c97375ec26f01d8,2021-10-07 22:24:52+00:00,DH Masters Winter,2000 Atmospheres LE,524,2,TvZ,3694,4428,307,415,28.7,49.5,69,100,23,16,16,23,45,30,128,135,43.68,51.46,0.16,0.15,6.48,7.23,0.05,0.08,1468.2,180.4,1475,12750,1873.3,269.7,1800,16465,283.9,93.6,325,2009,371.5,177.3,50,2522,Terran,Zerg
47823cb272c74ddb860d31ca6670d076,2021-12-20 08:22:13+00:00,DH Masters Last Chance,Glittering Ashes LE,374,2,TvZ,3022,3392,342,320,41.2,51.1,89,56,0,29,29,0,35,15,113,121,41.01,47.1,0.18,0.16,7.35,6.35,0.15,0.08,1495.7,241.2,825,10315,1459.6,169.5,400,9492,137.4,119.4,125,768,242.0,141.2,200,1532,Zerg,Terran
5920c9ba73164331a4bf0255df27cd76,2021-12-15 18:15:28+00:00,DH Masters Last Chance,Hardwire LE,879,1,TvP,4142,3459,407,295,21.3,36.5,70,76,18,2,2,18,30,50,138,134,29.95,36.78,0.21,0.18,11.88,6.8100000000000005,0.07,0.08,1864.4,196.2,8952,26883,1695.6,255.9,10950,23710,608.6,355.6,2692,7643,572.9,209.9,4575,7098,Terran,Protoss
890e4233253b4b399c6d42aa13db40ea,2021-09-30 03:10:23+00:00,DH Masters Winter,Blackburn LE,544,1,TvZ,4641,4092,362,389,44.1,14.8,72,103,30,0,0,30,45,45,138,130,40.0,39.78,0.16,0.17,8.22,8.77,0.06,0.05,1809.2,187.9,1550,15962,1798.7,236.2,3425,16505,394.1,193.0,50,2420,353.2,215.4,850,2320,Terran,Zerg
05cf8e6cba8d480fb14dc069503a894a,2022-02-26 00:44:58+00:00,IEM Katowice,[ESL] Pride of Altaris,423,1,PvZ,2793,2782,473,379,53.2,40.6,51,44,14,17,17,14,35,20,130,102,51.94,37.08,0.14,0.13,8.38,9.54,0.08,0.08,1377.3,155.3,2150,10607,1265.6,220.0,1925,9524,162.2,38.3,175,1052,327.9,238.8,900,2237,Zerg,Protoss
bf0f67c1ed6b459f85f9ecf7790f0edd,2021-10-08 04:52:36+00:00,DH Masters Winter,Blackburn LE,382,1,PvZ,3521,2188,398,236,50.4,61.1,72,39,1,10,10,1,15,10,133,112,58.26,46.17,0.15,0.25,6.09,4.54,0.07,0.15,1632.0,219.1,1125,11250,1261.4,218.6,1800,8975,182.7,39.8,150,980,239.1,92.1,350,1374,Zerg,Protoss
35b6e09380ad4a789a2c2de645648f07,2021-12-20 07:40:04+00:00,DH Masters Last Chance,Berlingrad LE,435,1,PvZ,3039,3280,820,303,44.0,54.8,65,59,7,14,14,7,15,35,133,124,38.99,37.06,0.11,0.22,15.71,7.49,0.09,0.13,1584.0,179.2,2125,12295,1523.1,223.8,1575,11580,205.7,74.2,450,1392,350.4,136.9,950,2378,Zerg,Protoss
4b28e03b431844ba9966190d27de38af,2021-10-07 05:54:04+00:00,DH Masters Winter,Oxide LE,347,1,PvP,1370,1314,218,229,19.5,31.3,25,28,7,1,1,7,5,5,99,86,29.21,33.53,0.24,0.23,6.49,6.12,0.12,0.13,886.0,161.1,325,6090,757.0,126.8,200,4895,193.6,87.1,50,1066,166.6,166.9,0,602,Protoss,Protoss
acbad2a15deb48b492794cc2faaf43a9,2021-10-03 20:17:54+00:00,DH Masters Winter,Oxide LE,693,1,PvP,4411,3655,327,284,34.5,47.2,90,78,19,4,4,19,10,45,135,126,39.09,40.3,0.18,0.19,7.59,6.26,0.04,0.1,1818.1,308.6,5100,21070,1665.7,294.1,7225,19730,573.3,232.7,2825,5768,442.4,185.1,3275,4556,Protoss,Protoss
d0ef81be9e194eee9875979e9f8626b1,2021-10-06 03:46:39+00:00,DH Masters Winter,Oxide LE,601,1,PvP,3258,2726,293,296,34.4,34.4,67,55,3,8,8,3,20,40,117,111,35.12,32.82,0.15,0.22,7.4,7.92,0.08,0.07,1531.7,208.4,2600,15565,1393.2,270.5,5550,14760,365.6,246.6,800,2942,351.8,173.9,2050,3286,Protoss,Protoss
c0b16c10c75f40539f421b7c7c193147,2021-12-18 02:50:45+00:00,DH Masters Last Chance,Curious Minds LE,598,1,PvZ,3846,3213,685,319,50.4,26.5,91,67,17,28,28,17,50,15,139,138,47.11,37.49,0.11,0.16,12.2,7.5600000000000005,0.07,0.05,1797.6,206.5,3567,17975,1590.4,187.7,3200,16005,388.2,157.7,567,3160,409.7,103.4,1025,3510,Zerg,Protoss
3e6be8af555b4598bbfc1de17a9ff6db,2021-10-06 03:39:59+00:00,DH Masters Winter,Jagannatha LE,774,1,PvZ,3442,3336,328,404,41.7,16.5,80,84,28,24,24,28,15,30,134,125,46.85,31.13,0.18,0.13,5.86,12.03,0.09,0.04,1755.4,273.5,7675,23065,1773.0,333.8,11106,22320,539.7,207.3,3600,6434,448.8,230.6,3893,5242,Protoss,Zerg
e0107f1207bd474ca24a02a642279233,2021-10-09 00:18:50+00:00,DH Masters Winter,Oxide LE,264,2,TvP,1432,1286,321,362,20.4,33.2,26,26,1,6,6,1,30,25,95,111,31.57,40.2,0.15,0.16,9.2,8.31,0.05,0.03,822.3,117.9,100,4295,845.6,119.0,0,4550,130.9,119.0,50,368,177.5,47.5,0,722,Terran,Protoss
